provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,session_id,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qiskit_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json
ibmq,d4tm6p7g0u6s73d8s85g,ibm_fez,Completed,2025-12-12 00:35:50.918197+00:00,2025-12-12 00:35:51.852446+00:00,2025-12-12 02:35:07.195768+00:00,7155343.322,,,runtime_inputs,156.0,431262.0,737036.0,612821.0,124215.0,1.0,8.0,"{""sx"": 327297, ""rz"": 280540, ""cz"": 124215, ""x"": 4968, ""reset"": 8, ""measure"": 8, ""barrier"": 1}",qiskit,431262.0,1.0,456497.0,280540.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 431262, ""connected_components"": 1, ""num_cliffords"": 456497, ""num_non_cliffords"": 280540, ""num_parameters"": 0}"
ibmq,d4thg14gk3fc73astang,ibm_fez,Completed,2025-12-11 19:14:12.187519+00:00,2025-12-12 00:29:26.954468+00:00,2025-12-12 00:32:34.334656+00:00,187380.188,,,runtime_inputs,156.0,26090.0,43931.0,36412.0,7519.0,1.0,6.0,"{""sx"": 19432, ""rz"": 16392, ""cz"": 7519, ""x"": 576, ""reset"": 6, ""measure"": 6, ""barrier"": 1}",qiskit,26090.0,1.0,27540.0,16392.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 26090, ""connected_components"": 1, ""num_cliffords"": 27540, ""num_non_cliffords"": 16392, ""num_parameters"": 0}"
ibmq,d4sta33her1c73bdnf60,ibm_fez,Completed,2025-12-10 20:16:12.390464+00:00,2025-12-10 23:14:21.397620+00:00,2025-12-10 23:15:55.461973+00:00,94064.353,,,runtime_inputs,156.0,7.0,71.0,71.0,0.0,1.0,10.0,"{""rz"": 31, ""sx"": 20, ""reset"": 10, ""measure"": 10, ""barrier"": 1}",qiskit,7.0,3.0,41.0,31.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 7, ""connected_components"": 3, ""num_cliffords"": 41, ""num_non_cliffords"": 31, ""num_parameters"": 0}"
ibmq,d4srol45fjns73d2q8j0,ibm_fez,Completed,2025-12-10 18:30:44.304437+00:00,2025-12-10 18:30:44.779505+00:00,2025-12-10 18:32:18.141180+00:00,93361.675,,,runtime_inputs,156.0,359879.0,605921.0,527955.0,77966.0,1.0,10.0,"{""sx"": 262781, ""rz"": 260307, ""cz"": 77966, ""x"": 4847, ""reset"": 10, ""measure"": 10, ""barrier"": 1}",qiskit,359879.0,1.0,345615.0,260307.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 359879, ""connected_components"": 1, ""num_cliffords"": 345615, ""num_non_cliffords"": 260307, ""num_parameters"": 0}"
ibmq,d4rdtt3her1c73bc6cr0,ibm_fez,Completed,2025-12-08 14:21:40.951149+00:00,2025-12-08 15:23:10.194756+00:00,2025-12-08 15:23:25.577808+00:00,15383.052,,,runtime_inputs,156.0,7.0,221.0,221.0,0.0,1.0,156.0,"{""measure"": 156, ""rz"": 32, ""sx"": 22, ""reset"": 10, ""x"": 1, ""barrier"": 1}",qiskit,7.0,1.0,190.0,32.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 7, ""connected_components"": 1, ""num_cliffords"": 190, ""num_non_cliffords"": 32, ""num_parameters"": 0}"
ibmq,d4pkl6sfitbs739g42u0,ibm_fez,Completed,2025-12-05 21:11:55.069015+00:00,2025-12-05 21:11:55.959517+00:00,2025-12-05 21:12:01.662914+00:00,5703.397,,,runtime_inputs,156.0,7.0,216.0,216.0,0.0,1.0,156.0,"{""measure"": 156, ""rz"": 30, ""sx"": 20, ""reset"": 10, ""barrier"": 1}",qiskit,7.0,1.0,187.0,30.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 7, ""connected_components"": 1, ""num_cliffords"": 187, ""num_non_cliffords"": 30, ""num_parameters"": 0}"
ibmq,d4ph06cfitbs739g03pg,ibm_fez,Completed,2025-12-05 17:02:17.814306+00:00,2025-12-05 17:15:25.165736+00:00,2025-12-05 17:15:40.447675+00:00,15281.939,,,runtime_inputs,156.0,7.0,215.0,215.0,0.0,1.0,156.0,"{""measure"": 156, ""rz"": 29, ""sx"": 19, ""reset"": 10, ""x"": 1, ""barrier"": 1}",qiskit,7.0,1.0,187.0,29.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 7, ""connected_components"": 1, ""num_cliffords"": 187, ""num_non_cliffords"": 29, ""num_parameters"": 0}"
ibmq,d4p1o43her1c73b9o0cg,ibm_fez,Completed,2025-12-04 23:41:04.528179+00:00,2025-12-04 23:44:17.867982+00:00,2025-12-04 23:53:32.305769+00:00,554437.787,,,runtime_inputs,156.0,1962126.0,3211136.0,2642609.0,568527.0,1.0,156.0,"{""sx"": 1440843, ""rz"": 1178013, ""cz"": 568527, ""x"": 23587, ""measure"": 156, ""reset"": 10, ""barrier"": 1}",qiskit,1962126.0,1.0,2033124.0,1178013.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 1962126, ""connected_components"": 1, ""num_cliffords"": 2033124, ""num_non_cliffords"": 1178013, ""num_parameters"": 0}"
ibmq,d4p13is5fjns73curln0,ibm_fez,Failed,2025-12-04 22:57:18.708587+00:00,2025-12-04 22:57:19.594146+00:00,2025-12-04 23:10:16.688989+00:00,777094.843,,,runtime_inputs,156.0,1977640.0,3238361.0,2665821.0,572540.0,1.0,156.0,"{""sx"": 1452960, ""rz"": 1188893, ""cz"": 572540, ""x"": 23802, ""measure"": 156, ""reset"": 10, ""barrier"": 1}",qiskit,1977640.0,1.0,2049469.0,1188893.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 1977640, ""connected_components"": 1, ""num_cliffords"": 2049469, ""num_non_cliffords"": 1188893, ""num_parameters"": 0}"
ibmq,d4p11r45fjns73curjsg,ibm_fez,Failed,2025-12-04 22:53:36.897977+00:00,2025-12-04 22:53:37.825615+00:00,2025-12-04 23:06:52.241366+00:00,794415.751,,,runtime_inputs,156.0,1971441.0,3232831.0,2660474.0,572357.0,1.0,156.0,"{""sx"": 1457126, ""rz"": 1185473, ""cz"": 572357, ""x"": 17709, ""measure"": 156, ""reset"": 10, ""barrier"": 1}",qiskit,1971441.0,1.0,2047359.0,1185473.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 1971441, ""connected_components"": 1, ""num_cliffords"": 2047359, ""num_non_cliffords"": 1185473, ""num_parameters"": 0}"
