benchmark,size,n_nodes,n_processes,best_backend,sub_backend,best_runtime,n_qubits,depth,width,n_clbits,n_ops,n_gates,n_parameters,n_connected_components,n_measure_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,four_qubit_gates,num_separable_circuits,num_tensor_factors,num_serial_layers,qc_width_total,num_registers,num_cregs,num_ancillas,idle_wires,global_phase,dag_size_ops,dag_edge_count,longest_path_len,num_control_flow_ops,num_barriers,num_distinct_twoq_pairs,touch_min,touch_max,touch_avg,clifford_count,nonclifford_count,measure_fraction,total_gate_params,avg_gate_params,std_gate_params,min_gate_params,max_gate_params,num_controlled_gates,num_unitary_factors,dag_duration,qc_duration,gate_barrier,gate_ccx,gate_cp,gate_cu,gate_cx,gate_cz,gate_h,gate_measure,gate_p,gate_rx,gate_ry,gate_rz,gate_s,gate_swap,gate_u2
bit_code,4,1,8,ibmq,ibm_torino,50.197601318359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit_code,9,1,8,ibmq,ibm_torino,51.785945892333984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit_code,15,1,8,ibmq,ibm_torino,48.94351959228516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit_code,16,1,8,ibmq,ibm_torino,53.647756576538086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit_code,20,1,8,ibmq,ibm_torino,56.92863464355469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit_code,23,1,8,ibmq,ibm_torino,48.52724075317383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqaoa,30,1,56,nwqsim,2subs16,136000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqaoa,40,1,56,nwqsim,4subs16,201000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,4,1,4,nwqsim,MPI,437.9016558329265,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,4,1,8,ibmq,ibm_torino,44.252872467041016,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,8,1,1,nwqsim,MPI,5174.488687515259,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,8,1,2,nwqsim,MPI,5174.7074365615845,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,8,1,4,ionq,simulator,2606.4624786376958,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,8,1,8,ibmq,ibm_torino,84.21754837036133,8.0,9.0,8.0,8.0,16.0,16.0,0.0,1.0,8.0,9.0,7.0,0.0,0.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,11.0,,0.0,7.0,2.0,3.0,2.875,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,9,1,8,ibmq,ibm_miami,31.25319480895996,9.0,10.0,9.0,9.0,18.0,18.0,0.0,1.0,9.0,10.0,8.0,0.0,0.0,1.0,1.0,18.0,18.0,1.0,1.0,0.0,0.0,0.0,18.0,53.0,12.0,,0.0,8.0,2.0,3.0,2.888888888888889,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,,,0.0,0.0,0.0,0.0,8.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ghz,12,1,4,nwqsim,MPI,459.3968391418457,12.0,13.0,12.0,12.0,24.0,24.0,0.0,1.0,12.0,13.0,11.0,0.0,0.0,1.0,1.0,24.0,24.0,1.0,1.0,0.0,0.0,0.0,24.0,71.0,15.0,,0.0,11.0,2.0,3.0,2.9166666666666665,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,,,0.0,0.0,0.0,0.0,11.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
