benchmark,size,backend,sub_backend,device,run_mode,n_nodes,n_processes,runtime_ms,job_id,status,created_at,started_at,ended_at
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,34242.534999999996,d6gvatithhns7391g1eg,Completed,2026-02-27 19:50:14.591476+00:00,2026-02-27 19:50:15.978210+00:00,2026-02-27 19:50:50.220745+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,33815.515,d6gv5k1keb2s73bdvlm0,Completed,2026-02-27 19:38:56.596788+00:00,2026-02-27 19:38:57.672018+00:00,2026-02-27 19:39:31.487533+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,34505.459,d6gv4m9keb2s73bdvkkg,Completed,2026-02-27 19:36:58.134581+00:00,2026-02-27 19:36:59.060995+00:00,2026-02-27 19:37:33.566454+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,33737.085999999996,d6gv1ae48nic73amc8b0,Completed,2026-02-27 19:29:45.311504+00:00,2026-02-27 19:29:46.057064+00:00,2026-02-27 19:30:19.794150+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,33912.059,d6guuvn3o3rs73cabc7g,Completed,2026-02-27 19:24:46.503387+00:00,2026-02-27 19:24:47.381003+00:00,2026-02-27 19:25:21.293062+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,98870.024,d6gut1ithhns7391fgag,Completed,2026-02-27 19:20:39.075596+00:00,2026-02-27 19:20:40.705093+00:00,2026-02-27 19:22:19.575117+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,59973.502,d6gus3hkeb2s73bdv9tg,Completed,2026-02-27 19:18:38.301760+00:00,2026-02-27 19:18:39.102877+00:00,2026-02-27 19:19:39.076379+00:00
,120,ibmq,ibm_miami,CPU,sync,1,1,919259.112,d6gtg0n3o3rs73ca9gsg,Completed,2026-02-27 17:44:34.810816+00:00,2026-02-27 17:44:35.823309+00:00,2026-02-27 17:59:55.082421+00:00
,120,ibmq,ibm_miami,CPU,sync,1,1,553042.1209999999,d6gtfnhkeb2s73bdtigg,Completed,2026-02-27 17:43:58.303705+00:00,2026-02-27 17:43:59.154571+00:00,2026-02-27 17:53:12.196692+00:00
,120,ibmq,ibm_miami,CPU,sync,1,1,420022.82,d6gt0rhkeb2s73bdsu50,Completed,2026-02-27 17:12:14.487696+00:00,2026-02-27 17:12:15.706571+00:00,2026-02-27 17:19:15.729391+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,33796.848,d6gs9gf3o3rs73ca7rvg,Completed,2026-02-27 16:22:25.947875+00:00,2026-02-27 16:22:27.438992+00:00,2026-02-27 16:23:01.235840+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,33152.626,d6gs95v3o3rs73ca7rk0,Completed,2026-02-27 16:21:43.168578+00:00,2026-02-27 16:21:44.719749+00:00,2026-02-27 16:22:17.872375+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,59941.174,d6grp2e48nic73am8230,Completed,2026-02-27 15:47:21.730304+00:00,2026-02-27 15:47:22.846443+00:00,2026-02-27 15:48:22.787617+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,35379.975,d6gr05hkeb2s73bdqbl0,Completed,2026-02-27 14:54:14.632562+00:00,2026-02-27 14:54:15.433222+00:00,2026-02-27 14:54:50.813197+00:00
,156,ibmq,ibm_fez,CPU,sync,1,1,141078.934,d6g7buekeflc73ah3fdg,Completed,2026-02-26 16:34:02.003603+00:00,2026-02-26 16:52:41.631415+00:00,2026-02-26 16:55:02.710349+00:00
,156,ibmq,ibm_fez,CPU,sync,1,1,58019.509,d6g6716keflc73ah22kg,Completed,2026-02-26 15:15:16.612005+00:00,2026-02-26 15:21:03.872661+00:00,2026-02-26 15:22:01.892170+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,352360.831,d6fhd8p54hss73bc5vt0,Completed,2026-02-25 15:34:59.504842+00:00,2026-02-25 20:27:56.785120+00:00,2026-02-25 20:33:49.145951+00:00
,156,ibmq,ibm_fez,CPU,sync,1,1,38383.481,d6fhd3vg4t5c73892k6g,Completed,2026-02-25 15:34:39.100565+00:00,2026-02-25 15:34:44.210300+00:00,2026-02-25 15:35:22.593781+00:00
,156,ibmq,ibm_fez,CPU,sync,1,1,35771.448,d6fgq2h7ce2c73fk33s0,Completed,2026-02-25 14:54:02.336578+00:00,2026-02-25 15:29:07.184940+00:00,2026-02-25 15:29:42.956388+00:00
,156,ibmq,ibm_pittsburgh,CPU,sync,1,1,34952.917,d6fglevg4t5c73891mj0,Completed,2026-02-25 14:44:11.859798+00:00,2026-02-25 14:44:13.020911+00:00,2026-02-25 14:44:47.973828+00:00
