benchmark,size,n_nodes,n_processes,best_backend,sub_backend,best_runtime,n_qubits,depth,width,n_clbits,n_ops,n_gates,n_parameters,n_connected_components,n_measure_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,four_qubit_gates,num_separable_circuits,num_tensor_factors,num_serial_layers,qc_width_total,num_registers,num_cregs,num_ancillas,idle_wires,global_phase,dag_size_ops,dag_edge_count,longest_path_len,num_control_flow_ops,num_barriers,num_distinct_twoq_pairs,touch_min,touch_max,touch_avg,clifford_count,nonclifford_count,measure_fraction,total_gate_params,avg_gate_params,std_gate_params,min_gate_params,max_gate_params,num_controlled_gates,num_unitary_factors,dag_duration,qc_duration,gate_barrier,gate_ccx,gate_cp,gate_cu,gate_cx,gate_cz,gate_h,gate_measure,gate_p,gate_rx,gate_ry,gate_rz,gate_s,gate_swap,gate_u2,arg_number_of_iterations,arg_optimization_level,algo_depth,algo_width,algo_num_qubits,algo_num_clbits,algo_num_ops,algo_num_2q_gates,algo_num_cliffords,algo_num_non_cliffords,algo_critical_path_length,algo_connected_components,algo_num_parameters,algo_gate_measure,algo_gate_cx,algo_gate_h,transpile_opt_level,hw_circ_depth,hw_circ_width,hw_circ_num_ops,hw_circ_num_2q_gates,hw_circ_swaps,hw_circ_connected_components,hw_circ_connectivity_degree_max,hw_circ_connectivity_degree_avg,hw_gate_cz,hw_gate_measure,hw_gate_rz,hw_gate_sx,exec_openmp_num_threads,exec_mpi_rank,exec_mpi_size,exec_transpile_time,depth_ratio,twoq_ratio,hw_gate_cx,hw_gate_h,algo_gate_rz,algo_gate_cz,algo_gate_s,algo_gate_swap,algo_gate_rx,hw_gate_x,algo_gate_cu,algo_gate_ccx,algo_gate_cp,algo_gate_u2,algo_gate_ry,algo_gate_p,algo_gate_barrier,hw_gate_barrier,hw_gate_rx,algo_gate_reset,hw_gate_reset,hw_gate_gpi2,hw_gate_ms,hw_gate_gpi,hw_gate_ry,arg_device,arg_run_mode,algo_shots,be_backend_name,be_backend_type,be_backend_is_simulator,depth_qf,width_qf,n_ops_qf,two_qubit_gates_qf,clifford_count_qf,nonclifford_count_qf,critical_path_length_qf,connected_components_qf,num_parameters_qf,critical_path_length,connected_components,num_parameters
bit_code,4,1,8,ibmq,ibm_torino,50.197601318359375,,5.0,7.0,,19.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,7.0,7.0,10.0,19.0,6.0,6.0,13.0,5.0,1.0,0.0,10.0,6.0,,1.0,11.0,133.0,37.0,6.0,0.0,127.0,2.0,0.09022556390977443,6.0,10.0,12.0,6.0,1.0,0.0,1.0,1.1411949899047613,2.2,1.0,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,CPU,sync,,ibm_torino,hardware,False,5.0,7.0,19.0,6.0,6.0,13.0,5.0,1.0,0.0,5.0,1.0,0.0
bit_code,9,1,8,ibmq,ibm_torino,51.785945892333984,,5.0,17.0,,49.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,16.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,17.0,17.0,25.0,49.0,16.0,16.0,33.0,5.0,1.0,0.0,25.0,16.0,,1.0,11.0,133.0,97.0,16.0,0.0,117.0,2.0,0.24060150375939848,16.0,25.0,32.0,16.0,1.0,0.0,1.0,2.816774937789887,2.2,1.0,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,CPU,sync,,ibm_torino,hardware,False,5.0,17.0,49.0,16.0,16.0,33.0,5.0,1.0,0.0,5.0,1.0,0.0
bit_code,15,1,8,ibmq,ibm_torino,48.943519592285156,,5.0,36.68,,44.68,,,,,,14.56,,,,,,,,,,,,,,,,,,,,,42.4,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,29.0,29.0,43.0,85.0,28.0,28.0,57.0,5.0,1.0,0.0,43.0,28.0,,1.0,11.0,133.0,169.0,28.0,0.0,105.0,2.0,0.42105263157894735,28.0,43.0,56.0,28.0,1.0,0.0,1.0,2.95698549086228,2.2,1.0,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,CPU,sync,,ibm_torino,hardware,False,5.0,36.68,44.68,14.56,42.4,2.28,5.0,1.0,0.0,5.0,1.0,0.0
bit_code,16,1,8,ibmq,ibm_torino,53.647756576538086,,5.0,31.0,,91.0,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,30.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,31.0,31.0,46.0,91.0,30.0,30.0,61.0,5.0,1.0,0.0,46.0,30.0,,1.0,11.0,133.0,181.0,30.0,0.0,103.0,2.0,0.45112781954887216,30.0,46.0,60.0,30.0,1.0,0.0,1.0,3.001619570888579,2.2,1.0,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,CPU,sync,,ibm_torino,hardware,False,5.0,31.0,91.0,30.0,30.0,61.0,5.0,1.0,0.0,5.0,1.0,0.0
bit_code,20,1,8,ibmq,ibm_torino,56.92863464355469,,5.0,39.0,,115.0,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,38.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,39.0,39.0,58.0,115.0,38.0,38.0,77.0,5.0,1.0,0.0,58.0,38.0,,1.0,11.0,133.0,229.0,38.0,0.0,95.0,2.0,0.5714285714285714,38.0,58.0,76.0,38.0,1.0,0.0,1.0,3.2585047190004843,2.2,1.0,,,,,,,,,,,,,,,,,,19.0,19.0,,,,,CPU,sync,,ibm_torino,hardware,False,5.0,39.0,115.0,38.0,38.0,77.0,5.0,1.0,0.0,5.0,1.0,0.0
bit_code,23,1,8,ibmq,ibm_torino,48.52724075317383,,5.0,45.0,,133.0,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,44.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,45.0,45.0,67.0,133.0,44.0,44.0,89.0,5.0,1.0,0.0,67.0,44.0,,1.0,11.0,133.0,265.0,44.0,0.0,89.0,2.0,0.6616541353383458,44.0,67.0,88.0,44.0,1.0,0.0,1.0,3.1513993036933243,2.2,1.0,,,,,,,,,,,,,,,,,,22.0,22.0,,,,,CPU,sync,,ibm_torino,hardware,False,5.0,45.0,133.0,44.0,44.0,89.0,5.0,1.0,0.0,5.0,1.0,0.0
dqaoa,30,1,56,nwqsim,2subs16,136000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqaoa,40,1,56,nwqsim,4subs16,201000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,4,1,4,nwqsim,MPI,437.90165583292645,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,,4.0,8.0,3.0,4.0,4.0,5.0,1.0,0.0,4.0,3.0,1.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,,,5.0,5.846153846153846,8.0,3.0,5.846153846153846,2.1538461538461537,5.0,1.0,0.0,5.0,1.0,0.0
ghz,4,1,8,ibmq,ibm_torino,9.096071496605873,4.0,5.0,4.0,4.0,8.0,8.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,23.0,7.0,,0.0,3.0,2.0,3.0,2.75,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,4.0,8.0,3.0,4.0,4.0,5.0,1.0,0.0,4.0,3.0,1.0,1.0,16.0,133.0,28.0,3.0,0.0,130.0,2.0,0.045112781954887216,3.0,4.0,14.0,7.0,1.0,0.0,1.0,1.3013491742312908,3.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ibm_torino,hardware,False,5.0,5.846153846153846,8.0,3.0,5.846153846153846,2.1538461538461537,5.0,1.0,0.0,5.0,1.0,0.0
